id,windows,car,lights,gas,convience,sdpd,lampdist,lat,lon,crime
2011_77118,4,6,0,1000,502,1848,40.0,32.7513377335,-117.090908465,ROBBERY
2012_77308,0,5,1,83,83,2685,14.14,32.7461460025,-117.059663145,ROBBERY
2011_77395,0,7,4,489,78,6780,10.0,32.7472293687,-117.251670997,ROBBERY
2012_77432,0,4,0,140,141,1550,31.62,32.5638152706,-117.07882768,ROBBERY
2011_77438,0,5,0,927,418,1846,92.19,32.7472807988,-117.08615629399999,ROBBERY
2012_77548,0,4,2,781,582,550,10.0,32.7172786742,-117.162023878,ROBBERY
2012_77777,0,6,1,397,397,3493,20.0,32.7468840245,-117.19006847899999,ROBBERY
2011_77834,0,3,0,725,668,3760,42.42,32.6963315736,-117.085109869,ROBBERY
2012_77860,0,5,0,571,571,8291,100.49,32.8020034771,-117.01107725700001,ROBBERY
2012_77892,0,10,1,787,787,3101,22.36,32.9171679094,-117.12451450100001,ROBBERY
2011_77982,1,3,7,294,186,1486,10.0,32.7114751338,-117.162402725,ROBBERY
2011_77986,1,3,2,455,455,2063,22.36,32.5764586249,-117.101377464,ROBBERY
2011_78004,0,7,0,341,351,127,85.44,32.801772018600005,-117.228650962,ROBBERY
2011_78011,0,2,2,260,260,2817,10.0,32.7536010401,-117.21143815399999,ROBBERY
2011_78143,0,4,2,99,439,640,10.0,32.7109903303,-117.149452002,ROBBERY
2012_78501,0,7,1,487,487,685,22.36,32.7459328369,-117.10727789299999,ROBBERY
2012_78669,0,3,1,800,433,1946,22.36,32.8015647155,-117.246300944,ROBBERY
2011_78787,0,7,0,1052,1052,3207,36.05,32.7214414405,-117.09304716,ROBBERY
2011_79045,0,5,2,548,157,451,20.0,32.7496019923,-117.099543453,ROBBERY
2011_79085,0,6,0,359,21,1537,36.05,32.8031533139,-117.21674228399999,ROBBERY
2011_79173,0,7,0,1232,1232,4850,30.0,32.9027153189,-117.17976664700001,ROBBERY
2012_79346,0,3,0,7251,7001,2426,36.05,32.5450224304,-117.05181713700001,ROBBERY
