id,windows,car,lights,gas,convience,sdpd,lampdist,lat,lon,crime
s_87,0,4,0,0,0,1,62.52748998931895,32.693832199999996,-117.1345996,safe
s_88,0,1,0,0,0,1,48.74989763449014,32.6954123,-117.1371477,safe
s_89,0,2,0,0,0,0,232.6292219547633,32.7020134,-117.15305159999998,safe
s_90,0,6,1,0,0,1,18.899728582059268,32.7037468,-117.1421297,safe
s_91,0,5,3,0,0,0,15.378256457888105,32.6995577,-117.1460993,safe
s_92,1,5,0,0,0,1,59.558398878939656,32.7041079,-117.1382673,safe
s_93,0,7,1,0,0,0,14.773377463516706,32.7026815,-117.13614299999999,safe
s_94,1,5,0,0,0,1,62.52564611304283,32.703327,-117.1396878,safe
s_95,0,5,0,0,0,1,42.31804565311285,32.7025776,-117.1404818,safe
s_96,0,4,0,0,0,1,35.89815849852857,32.7017831,-117.1383896,safe
s_97,0,8,0,0,0,1,53.924129810695035,32.702704,-117.1375528,safe
s_98,0,4,0,0,0,1,99.67934119203235,32.704211699999995,-117.14039059999999,safe
s_99,0,7,0,0,0,0,72.42555567757647,32.7014852,-117.14045490000001,safe
s_100,0,5,0,0,0,2,31.885021944978128,32.707369199999995,-117.1413656,safe
s_101,0,7,0,0,0,2,27.80946176580071,32.707409399999996,-117.13894099999999,safe
s_102,1,4,0,0,1,0,44.98360680188904,32.705874699999995,-117.133877,safe
s_103,0,5,1,0,0,0,18.9449419528292,32.7030399,-117.1338341,safe
s_104,0,2,0,0,0,0,41.50750494454169,32.7020107,-117.1338341,safe
s_105,0,8,0,0,0,0,73.62422698783392,32.7016676,-117.13460659999998,safe
s_106,2,5,0,0,0,1,46.252906325328674,32.7044844,-117.1441767,safe
s_107,0,5,3,0,0,0,15.305135954146486,32.7083901,-117.1523865,safe
s_108,4,3,3,0,0,0,12.663223535366065,32.7088234,-117.15191440000001,safe
s_109,5,2,3,0,0,0,10.923732662569856,32.7080075,-117.15827659999998,safe
s_110,0,1,2,0,0,0,9.394929062412283,32.7071138,-117.15825520000001,safe
s_111,0,3,3,0,0,0,17.849147051792578,32.706193,-117.1563937,safe
s_112,1,2,4,0,0,0,11.574326258344808,32.706843,-117.1556534,safe
s_113,0,5,0,0,0,1,49.21269919958496,32.7068114,-117.1449031,safe
s_114,1,5,2,0,0,1,10.970140037292753,32.7066127,-117.1439697,safe
s_115,4,3,0,0,0,1,26.180671226132148,32.7049877,-117.1448817,safe
s_116,0,5,1,0,0,0,25.280981259397112,32.70602589999999,-117.1457936,safe
s_117,0,5,1,0,0,0,24.764980476070523,32.7073711,-117.1461477,safe
s_118,0,5,2,0,0,2,13.325508137481613,32.7084363,-117.1369423,safe
