id,windows,car,lights,gas,convience,sdpd,lampdist,lat,lon,crime
s_497,0,3,2,328,1219,3500,15.741393971456047,32.7168193,-117.0277733,safe
s_498,0,4,0,258,1144,3455,37.452668384197125,32.7185976,-117.0264,safe
s_499,0,2,0,1240,882,4035,27.375271690302295,32.7175144,-117.0243186,safe
s_500,0,3,0,355,1240,3551,130.37135650268908,32.7198522,-117.0259763,safe
s_501,0,6,0,663,1554,3341,30.30196214526776,32.7167385,-117.0302032,safe
s_502,0,2,1,1052,1942,3388,20.128589868400564,32.7182369,-117.0319198,safe
s_503,0,3,0,1185,2076,3522,33.620862904379294,32.7194374,-117.031952,safe
s_504,0,5,0,1087,1978,4179,65.22814070703392,32.7201054,-117.0298384,safe
s_505,0,1,1,1027,1526,5052,13.939476995974372,32.715906,-117.0752857,safe
s_506,0,2,1,1310,1810,4991,19.07347183489591,32.7158699,-117.0731184,safe
s_507,0,5,0,1427,2336,5108,22.304803082999527,32.7167365,-117.0724103,safe
s_508,0,5,1,1521,2169,4795,9.394504423901033,32.714877,-117.0729468,safe
s_509,0,6,0,2054,2251,5009,56.97782838528374,32.7190834,-117.0704577,safe
s_510,0,4,1,1229,1846,5181,10.529759126501173,32.7175128,-117.0748994,safe
s_511,2,2,0,148,734,4063,41.76404667674353,32.7167767,-117.0831764,safe
s_512,0,3,0,173,481,6224,62.06634869019049,32.7155401,-117.0844102,safe
s_513,0,4,0,489,1037,4405,72.66363238510381,32.7156303,-117.081728,safe
s_514,0,3,0,829,1141,5437,21.19104696508786,32.7145126,-117.079054,safe
s_515,0,2,1,2431,2608,6167,7.008260110031933,32.7244587,-117.0656999,safe
s_516,0,1,0,2682,2924,5233,33.1965812146596,32.7250183,-117.0630928,safe
s_517,0,1,0,2092,2727,5047,49.654047102444416,32.7223827,-117.0663973,safe
s_518,0,3,0,2762,2939,5717,43.39667474384973,32.7233575,-117.0635787,safe
s_519,0,2,0,2403,3090,4953,32.36234349192942,32.7232492,-117.0619157,safe
s_520,0,1,0,2971,3099,5010,90.47497142727228,32.7248739,-117.0607785,safe
s_521,0,6,1,315,315,2626,18.280626876205453,32.7442555,-117.0607406,safe
s_522,0,9,1,39,39,2860,10.20605377459497,32.7463851,-117.0584446,safe
s_523,0,3,0,189,189,3010,23.00293769097698,32.7477026,-117.0587987,safe
s_524,0,5,0,217,217,3039,49.409349003817,32.7460783,-117.056964,safe
s_525,0,4,1,347,347,3954,13.509715139386145,32.7457173,-117.0556336,safe
s_526,0,3,0,331,331,2544,28.21779065637593,32.7452752,-117.0606816,safe
s_527,0,9,0,572,572,2351,29.840694674364805,32.7463864,-117.0626597,safe
s_528,0,6,1,686,686,2464,12.496233091458013,32.7457457,-117.0636039,safe
s_529,0,7,1,691,691,2312,13.560748892497756,32.7467383,-117.0634108,safe
s_530,0,5,0,434,434,2677,33.012694837119085,32.7434319,-117.0607881,safe
s_531,0,5,0,1213,1213,2253,51.539951310873796,32.7425578,-117.0662563,safe
s_532,0,2,0,1356,1356,2238,27.88638402155171,32.7431173,-117.0671039,safe
s_533,0,3,0,1998,1462,2343,58.96185533863044,32.7435504,-117.0677154,safe
s_534,0,1,0,830,1577,913,128.61373723719328,32.7461516,-117.0767291,safe
s_535,0,1,0,268,1016,352,65.05330526191038,32.7472164,-117.0794327,safe
s_536,0,2,0,419,762,1310,24.23917730152542,32.7481877,-117.0812329,safe
s_537,1,4,1,815,537,810,9.135205054504008,32.7537928,-117.0784395,safe
s_538,0,5,0,1052,622,1048,50.6372001849769,32.7540009,-117.0775875,safe
s_539,0,5,0,458,801,1220,38.581401079808856,32.7476153,-117.0815374,safe
s_540,0,1,0,1289,1755,1577,56.16301297402414,32.7517346,-117.0705455,safe
s_541,0,5,0,682,216,510,25.330212800503535,32.7671507,-117.1954347,safe
s_542,0,3,0,1054,588,882,30.614769370432796,32.7687385,-117.1920873,safe
s_543,0,3,0,468,683,1059,62.36277535080796,32.7707322,-117.1998013,safe
s_544,0,5,0,774,640,1366,31.71161140321647,32.770642,-117.1986104,safe
s_545,1,6,0,865,731,1456,71.01419880405534,32.7710119,-117.1979453,safe
s_546,1,4,0,198,198,1278,41.665559084539325,32.7722478,-117.2016145,safe
s_547,0,2,0,229,229,1310,50.00694673392621,32.7715171,-117.2010137,safe
s_548,0,3,0,343,343,1424,54.769243045949985,32.7723696,-117.1998604,safe
s_549,0,3,0,542,578,905,53.54938422927903,32.7689191,-117.201197,safe
s_550,0,5,0,294,594,970,54.8300154160681,32.7695821,-117.1993892,safe
s_551,0,6,0,214,723,1050,37.29590349643702,32.7691337,-117.1987199,safe
s_552,0,3,0,185,185,3517,40.18911208734546,32.7912241,-117.202032,safe
s_553,0,2,0,268,268,3631,46.827187305256494,32.7922433,-117.2018389,safe
s_554,1,2,0,467,467,4068,81.8140647735672,32.7895105,-117.1994571,safe
s_555,0,1,0,366,565,3236,66.26748737390777,32.7864709,-117.2045855,safe
s_556,0,4,0,308,614,3187,39.964105873038434,32.7865791,-117.2051434,safe
s_557,0,1,0,285,368,3650,42.13938259709037,32.7926666,-117.2040562,safe
s_558,0,2,0,236,319,3601,40.75579388833255,32.7930454,-117.2028761,safe
s_559,0,1,0,105,188,3470,37.908181732041015,32.7918729,-117.2030155,safe
s_560,0,3,0,544,269,3529,58.89559249307438,32.7885456,-117.2036158,safe
s_561,0,3,0,1061,1632,2194,67.64278014408276,32.8097521,-117.2115658,safe
s_562,0,1,0,1358,1928,2491,65.23087321273911,32.8123474,-117.2113709,safe
s_563,0,1,2,1549,2120,2683,6.548724202593915,32.8124286,-117.21283,safe
s_564,0,4,0,1867,2438,3001,117.95735720818408,32.8111842,-117.2103409,safe
s_565,0,6,1,1641,14,2869,15.579351431245511,32.8061224,-117.2185861,safe
s_566,0,3,0,309,309,1305,48.425383090987175,32.8051001,-117.2209204,safe
